curveY,curveX,end point?,Place Count,place id,Rank,startY
60.499996672,170,伪,42,125,3,60.5
53.974075216,88.648810127,伪,41,148,4,54
64.614974855,170,伪,43,91,2,65.5
36.212705748,155.089822785,伪,40,215,5,47
-17.499991913,132.319987342,伪,33,412,11,-17.5
17.999738974,85.099797468,伪,39,311,8,18
-10.918910340,-15.988607595,伪,41,164,4,54
65.490591586,94.934050633,伪,43,63,2,65.5
12.510508231,121.630126582,伪,39,330,8,18
-13.527000002,-71.984,真,30,578,16,-60
11.350322213,125.474481013,伪,40,211,5,47
60.499937239,122.418784810,伪,42,105,3,60.5
61.857584528,159.749341772,伪,53,52,1,70
20.581001748,-42.003898734,伪,39,226,6,38
69.990730732,101.643670886,伪,53,21,1,70
4.979000549,-40.277518987,伪,39,247,6,38
6.000000579,142.320303797,伪,35,340,9,6
42.082945356,11.835443038,伪,33,430,11,-17.5
16.983041097,-17.522784810,伪,39,271,7,28.5
69.794593503,77.319253165,伪,53,6,1,70
-28.132999672,-29.809151899,伪,33,428,11,-17.5
37.339000000,-103.420632911,伪,39,259,7,28.5
44.063565151,61.480151899,伪,33,432,11,-17.5
-33.249469894,7.214607595,伪,41,171,4,54
-27.999996604,139.356139241,伪,32,445,12,-28
-27.886549997,81.473291139,伪,32,445,12,-28
37.076215887,155.973417722,伪,40,218,5,47
29.007152513,49.469924051,伪,42,113,3,60.5
1.502999995,-64.697784810,伪,33,422,11,-17.5
-13.050000120,-50.309405063,伪,30,548,15,-54
22.118975011,-36.838987342,伪,30,562,16,-60
-30.900000056,-43.505924051,伪,30,554,15,-54
14.996405891,129.316202532,伪,53,51,1,70
46.992252767,97.035746835,伪,40,196,5,47
32.691380353,35.224582278,伪,42,127,3,60.5
13.747066873,-21.719379747,伪,43,73,2,65.5
4.779510241,147.157886076,伪,33,400,10,-5.8
21.198000376,-54.311443038,伪,42,105,3,60.5
-5.799819091,111.489379747,伪,33,391,10,-5.8
4.860840770,-2.438886076,伪,43,78,2,65.5
16.983074300,-14.232911392,伪,39,271,7,28.5
12.801001629,-40.937341772,伪,41,154,4,54
25.827090016,52.015430380,伪,42,116,3,60.5
13.695435900,139.645088608,伪,40,216,5,47
8.237168630,51.179886076,伪,35,354,9,6
45.974929662,52.866329114,伪,43,88,2,65.5
46.999999899,152.724620253,伪,40,184,5,47
22.205808443,16.500151899,伪,42,99,3,60.5
-34.471609994,2.220683544,伪,35,360,9,6
69.873378488,82.009088608,伪,53,13,1,70
